Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-24,92.33,99.17,91.8,98.12,32538100,0.0,0
2020-03-25,100.66,105.92,95.51,100.73,28533000,0.0,0
2020-03-26,100.83,107.73,100.8,105.36,24520300,0.0,0
2020-03-27,100.45,101.49,95.54,96.4,30591500,0.0,0
2020-03-30,96.0,100.46,92.1,99.8,23119200,0.0,0
2020-03-31,100.22,103.16,96.16,96.6,21563200,0.0,0
2020-04-01,93.5,97.4,92.56,94.92,18303900,0.0,0
2020-04-02,94.2,97.26,94.2,96.97,13936500,0.0,0
2020-04-03,96.31,96.92,92.71,93.88,14814600,0.0,0
2020-04-06,97.26,100.19,94.52,99.58,20407400,0.0,0
2020-04-07,104.86,105.89,100.25,101.24,22899600,0.0,0
2020-04-08,100.53,102.35,98.65,101.07,22562500,0.0,0
2020-04-09,107.92,107.99,103.53,104.5,31485600,0.0,0
2020-04-13,104.71,104.87,99.61,103.5,17306000,0.0,0
2020-04-14,105.5,107.64,103.9,106.03,19866900,0.0,0
2020-04-15,104.39,104.88,102.7,103.37,14157600,0.0,0
2020-04-16,103.53,103.72,100.89,102.02,18029300,0.0,0
2020-04-17,106.21,106.79,104.35,106.63,17926900,0.0,0
2020-04-20,103.58,104.86,102.0,102.26,17021000,0.0,0
2020-04-21,100.01,101.51,99.13,100.54,16101400,0.0,0
2020-04-22,101.8,102.63,100.89,100.99,11492000,0.0,0
2020-04-23,100.65,102.53,99.46,101.0,17132200,0.0,0
2020-04-24,101.78,101.92,99.52,101.19,13621100,0.0,0
2020-04-27,102.0,106.52,101.61,106.06,15518300,0.0,0
2020-04-28,108.79,110.06,105.98,106.21,16503700,0.0,0
2020-04-29,109.94,112.7,108.56,112.25,20139800,0.0,0
2020-04-30,109.44,110.31,106.86,108.15,18622900,0.0,0
2020-05-01,106.36,106.91,104.47,105.5,13209100,0.0,0
2020-05-04,102.01,103.83,100.55,103.18,19514800,0.0,0
2020-05-05,101.51,105.18,100.9,101.06,30169800,0.0,0
2020-05-06,101.48,105.27,98.86,100.88,51992400,0.0,0
2020-05-07,101.85,105.61,101.83,105.57,20868800,0.0,0
2020-05-08,109.05,109.18,106.63,109.16,24101700,0.0,0
2020-05-11,108.4,108.81,106.41,107.77,20541400,0.0,0
2020-05-12,109.06,109.44,104.49,104.56,17049700,0.0,0
2020-05-13,104.5,104.54,101.6,102.92,21085800,0.0,0
2020-05-14,101.98,105.92,99.66,105.91,22002200,0.0,0
2020-05-15,104.98,109.38,104.27,109.05,29766000,0.0,0
2020-05-18,114.47,119.78,114.47,116.85,40075700,0.0,0
2020-05-19,115.1,116.47,113.42,114.37,20332600,0.0,0
2020-05-20,116.42,120.87,116.04,119.92,25749900,0.0,0
2020-05-21,119.34,120.3,116.5,117.83,17578300,0.0,0
2020-05-22,117.5,118.57,116.83,118.02,9288200,0.0,0
2020-05-26,121.05,122.51,120.43,120.95,16466400,0.0,0
2020-05-27,123.68,123.78,119.71,121.53,19345400,0.0,0
2020-05-28,121.6,121.98,116.0,116.75,18606000,0.0,0
2020-05-29,116.19,117.75,114.12,117.3,17845800,0.0,0
2020-06-01,117.26,119.65,116.93,118.77,10538300,0.0,0
2020-06-02,119.0,119.85,117.83,118.75,10753100,0.0,0
2020-06-03,119.99,122.45,119.32,122.18,12584300,0.0,0
2020-06-04,121.95,124.5,121.85,123.69,14195100,0.0,0
2020-06-05,126.31,127.82,124.28,124.82,16581600,0.0,0
2020-06-08,125.1,127.44,123.94,127.28,13858100,0.0,0
2020-06-09,125.63,125.79,123.51,123.89,10882800,0.0,0
2020-06-10,124.02,124.1,120.93,122.18,11497100,0.0,0
2020-06-11,117.6,118.0,112.25,112.64,26078800,0.0,0
2020-06-12,115.17,117.0,112.89,115.49,18355400,0.0,0
2020-06-15,112.08,118.12,111.71,117.08,14156400,0.0,0
2020-06-16,121.24,121.5,116.05,118.44,12951200,0.0,0
2020-06-17,118.64,119.23,117.14,117.65,8913100,0.0,0
2020-06-18,116.88,118.53,115.93,118.37,9577300,0.0,0
2020-06-19,119.98,120.12,114.35,114.35,23496300,0.0,0
2020-06-22,114.19,116.19,113.11,115.92,12868000,0.0,0
2020-06-23,116.96,117.45,115.97,116.59,10187600,0.0,0
2020-06-24,115.85,116.0,110.03,112.07,22252500,0.0,0
2020-06-25,108.99,111.51,108.5,111.36,17240400,0.0,0
2020-06-26,110.95,111.2,108.02,109.1,15270900,0.0,0
2020-06-29,109.0,111.57,108.1,111.52,12584300,0.0,0
2020-06-30,111.5,112.05,109.93,111.51,10565900,0.0,0
2020-07-01,112.82,115.6,112.29,113.01,11930900,0.0,0
2020-07-02,115.0,115.1,112.0,112.18,10312000,0.0,0
2020-07-06,113.83,114.53,112.9,114.43,11933400,0.0,0
2020-07-07,113.63,115.08,112.61,113.63,10836500,0.0,0
2020-07-08,113.48,117.13,112.81,116.66,13629500,0.0,0
2020-07-09,116.51,117.85,115.38,116.81,13582900,0.0,0
2020-07-10,116.83,119.44,116.21,119.34,14207900,0.0,0
2020-07-13,119.94,120.13,115.89,116.22,15620200,0.0,0
2020-07-14,115.23,119.08,114.54,118.66,12425100,0.0,0
2020-07-15,121.63,122.09,119.7,120.9,15314200,0.0,0
2020-07-16,117.72,119.99,117.6,119.43,10210100,0.0,0
2020-07-17,118.9,119.56,117.06,118.65,9843500,0.0,0
2020-07-20,118.05,118.49,116.82,117.79,8947900,0.0,0
2020-07-21,118.05,120.39,117.66,118.62,8956000,0.0,0
2020-07-22,118.19,119.3,117.93,119.03,7063300,0.0,0
2020-07-23,118.86,119.35,117.01,118.12,7255800,0.0,0
2020-07-24,115.7,118.21,115.53,117.61,8233300,0.0,0
2020-07-27,117.2,117.42,115.68,116.31,9413000,0.0,0
2020-07-28,115.46,116.84,114.68,116.18,6821100,0.0,0
2020-07-29,116.22,116.71,115.11,115.61,9496500,0.0,0
2020-07-30,114.91,116.29,113.37,115.66,9713500,0.0,0
2020-07-31,115.22,117.05,114.12,116.94,9623800,0.0,0
2020-08-03,116.17,117.12,115.35,116.35,10229200,0.0,0
2020-08-04,115.96,118.35,115.76,117.29,17293900,0.0,0
2020-08-05,123.37,130.31,123.28,127.61,53122400,0.0,0
2020-08-06,126.96,131.63,125.61,130.82,27212100,0.0,0
